Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0190143926510643,-0.00209106834204678,0.0241216046560516,0,0,0,7.92513256532834,0.0139055216111117,-0.000109653517718705,1.27828702079396E-05,0.0118816586586861,-7.29407228200342E-06,0.0171631225933994,0,0,0,0,0,0,package://practice3_description2/meshes/base_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://practice3_description2/meshes/base_link.STL,,4X14X4-PU包胶轮-24;4X14X4-PU包胶轮-19;4X14X4-PU包胶轮-18;4X14X4-PU包胶轮-17;4X14X4-PU包胶轮-16;4X14X4-PU包胶轮-15;4X14X4-PU包胶轮-14;4X14X4-PU包胶轮-20;socket countersunk head screw_iso-2;socket countersunk head screw_iso-4;socket countersunk head screw_iso-3;socket head cap screw_iso-53;socket head cap screw_iso-52;socket head cap screw_iso-48;socket countersunk head screw_iso-1;4X14X4-PU包胶轮-13;socket head cap screw_iso-42;socket head cap screw_iso-41;socket head cap screw_iso-40;socket head cap screw_iso-39;socket head cap screw_iso-38;socket head cap screw_iso-32;socket head cap screw_iso-34;socket head cap screw_iso-33;socket head cap screw_iso-29;socket head cap screw_iso-44;socket head cap screw_iso-56;4X14X4-PU包胶轮-21;4X14X4-PU包胶轮-23;socket head cap screw_iso-15;socket head cap screw_iso-47;socket head cap screw_iso-37;socket head cap screw_iso-45;socket head cap screw_iso-43;socket head cap screw_iso-50;socket head cap screw_iso-55;socket head cap screw_iso-13;socket head cap screw_iso-49;socket head cap screw_iso-30;socket head cap screw_iso-51;socket head cap screw_iso-14;socket head cap screw_iso-35;螺纹转接件10x10x6-34;螺纹转接件10x10x6-33;螺纹转接件10x10x6-35;电池舱后面板-1;电池舱前面板-1;2006电机保护壳-1;YAW主轴下部垫块-1;螺纹转接件6x6x40-65;螺纹转接件6x6x40-64;螺纹转接件10x10x6-28;螺纹转接件6x6x40-63;电器舱上盖板-1;螺纹转接件6x6x40-62;YAW主轴上部垫块-1;NUC安装架-1;RM_ESC_Center_Board2-2;电池舱侧面板-1;螺纹转接件10x10x6-25;螺纹转接件10x10x6-27;螺纹转接件10x10x6-26;螺纹转接件6x6x40-58;螺纹转接件6x6x40-56;螺纹转接件10x10x6-21;螺纹转接件10x10x6-20;螺纹转接件10x10x6-19;螺纹转接件10x10x10-17;螺纹转接件10x10x10-15;螺纹转接件6x6x40-53;螺纹转接件6x6x40-51;弹舱底面补缝板-1;螺纹转接件6x6x40-50;YAW主轴-2;螺纹转接件6x6x40-57;螺纹转接件6x6x40-52;螺纹转接件10x10x10-13;螺纹转接件10x10x10-14;螺纹转接件10x10x10-18;螺纹转接件10x10x10-16;螺纹转接件10x10x10-12;螺纹转接件6x6x40-48;螺纹转接件10x10x10-11;螺纹转接件10x10x10-10;电器舱下方补缝板-1;螺纹转接件6x6x40-47;螺纹转接件6x6x40-36;螺纹转接件10x10x10-2;螺纹转接件6x6x40-46;螺纹转接件6x6x40-32;螺纹转接件10x10x10-3;螺纹转接件6x6x40-49;螺纹转接件10x10x10-4;螺纹转接件6x6x40-35;螺纹转接件6x6x40-37;螺纹转接件10x10x10-9;螺纹转接件6x6x40-24;螺纹转接件6x6x40-16;螺纹转接件6x6x40-26;螺纹转接件6x6x40-23;螺纹转接件6x6x40-15;螺纹转接件6x6x40-20;螺纹转接件6x6x40-18;螺纹转接件6x6x30-12;螺纹转接件6x6x40-17;螺纹转接件6x6x30-13;螺纹转接件6x6x40-21;螺纹转接件6x6x40-31;螺纹转接件6x6x40-19;螺纹转接件6x6x30-11;螺纹转接件6x6x30-10;螺纹转接件6x6x30-9;螺纹转接件6x6x40-14;螺纹转接件6x6x40-12;螺纹转接件6x6x40-13;螺纹转接件10x10x6-12;螺纹转接件6x6x40-10;螺纹转接件6x6x40-9;螺纹转接件6x6x40-8;螺纹转接件6x6x40-7;螺纹转接件10x10x6-11;螺纹转接件10x10x6-8;螺纹转接件10x10x6-9;髋关节侧展限位块-2;髋关节侧展限位块-1;螺纹转接件10x10x6-7;螺纹转接件6x6x40-11;螺纹转接件10x10x6-10;螺纹转接件6x6x40-5;螺纹转接件6x6x40-3;螺纹转接件10x10x6-6;螺纹转接件10x10x6-4;螺纹转接件10x10x6-1;螺纹转接件10x10x6-3;螺纹转接件6x6x40-1;螺纹转接件6x6x40-2;螺纹转接件10x10x6-2;电器舱侧方壁板-1;YAW轴电机安装板-1;螺纹转接件6x6x40-6;螺纹转接件6x6x40-4;电器舱侧上方壁板-1;螺纹转接件10x10x6-5;防撞导向器填充支撑块-1;电器舱侧下方壁板-1;电器舱后壁板-1;螺纹转接件6x6x30-7;螺纹转接件6x6x30-5;4X14X4-PU包胶轮-4;弹舱侧装甲板连接板-3;弹舱侧装甲板连接板-2;侧面防撞导向器结构板-2;4X14X4-PU包胶轮-5;4X14X4-PU包胶轮-1;螺纹转接件6x6x30-2;弹舱侧装甲板连接板-1;螺纹转接件6x6x30-1;螺纹转接件6x6x30-8;螺纹转接件6x6x30-6;侧装甲防撞导向器支架-2;侧装甲板支架安装板-1;弹舱前面板-1;弹舱侧下方壁板-1;RoboMaster 电池架开关-1;弹舱盖-1;弹舱侧上方壁板-1;电池舱底板-1;UBC开源超级电容控制板-特征简化版-1;侧面防撞导向器结构板-1;侧装甲防撞导向器支架-1;螺纹转接件6x6x40-73;防撞导向器支架补强垫块-1;螺纹转接件10x10x6-38;螺纹转接件6x6x40-74;螺纹转接件10x10x6-37;螺纹转接件6x6x40-70;螺纹转接件6x6x40-72;镜向电池舱侧面板-2;螺纹转接件6x6x40-68;螺纹转接件6x6x40-67;电器舱下方补缝板-2;螺纹转接件10x10x6-32;螺纹转接件10x10x6-31;螺纹转接件6x6x40-69;螺纹转接件10x10x6-30;螺纹转接件6x6x40-66;螺纹转接件10x10x10-22;螺纹转接件10x10x10-24;螺纹转接件10x10x6-24;螺纹转接件10x10x6-23;镜向电器舱上盖板-2;螺纹转接件6x6x40-61;螺纹转接件10x10x10-23;螺纹转接件10x10x10-20;螺纹转接件10x10x10-21;螺纹转接件10x10x6-22;螺纹转接件10x10x6-29;螺纹转接件6x6x40-60;弹舱底面补缝板-2;螺纹转接件10x10x6-17;螺纹转接件10x10x6-18;螺纹转接件6x6x40-45;螺纹转接件10x10x6-16;螺纹转接件10x10x6-15;螺纹转接件10x10x6-13;螺纹转接件6x6x40-44;螺纹转接件6x6x40-43;螺纹转接件10x10x10-19;螺纹转接件6x6x40-59;螺纹转接件10x10x6-14;螺纹转接件10x10x10-7;螺纹转接件10x10x10-5;螺纹转接件6x6x40-38;螺纹转接件6x6x40-39;螺纹转接件6x6x30-17;螺纹转接件6x6x30-21;螺纹转接件6x6x30-22;螺纹转接件6x6x30-19;螺纹转接件10x10x10-6;螺纹转接件6x6x30-20;螺纹转接件6x6x40-42;螺纹转接件6x6x40-41;螺纹转接件6x6x40-40;螺纹转接件6x6x30-18;螺纹转接件6x6x30-16;螺纹转接件6x6x30-15;防撞导向器填充支撑块-2;镜向电器舱侧方壁板-2;螺纹转接件6x6x30-4;镜向电器舱侧上方壁板-2;弹舱侧装甲板连接板-6;弹舱侧装甲板连接板-5;4X14X4-PU包胶轮-12;4X14X4-PU包胶轮-11;螺纹转接件6x6x30-3;侧面防撞导向器结构板-4;螺纹转接件6x6x30-14;镜向电器舱侧下方壁板-2;4X14X4-PU包胶轮-10;侧面防撞导向器结构板-3;镜向弹舱侧下方壁板-3;侧装甲防撞导向器支架-3;镜向弹舱侧面中央壁板-3;侧装甲板支架安装板-2;镜向弹舱侧上方壁板-3;弹舱侧装甲板连接板-4;侧装甲防撞导向器支架-4;单相固态继电器-1;弹舱侧面中央壁板-1;12900HK-NUC-2;DM-IMU-L1-V1.0-3d-1;云台YAW轴从动齿轮-30x2-1;云台轴承座-1;MT2042-S12.step-2;机体中央横隔板-电器舱前-1;机体电器舱前支撑板-1;J2中塑胶系列变压器-1;机体中央上盖板-1-1;云台YAW轴驱动齿轮-30x2-1;车架装配-2;RoboMaster GM6020 直流无刷电机-1;机体中央纵承力板-2;髋关节电机前安装板-右-1;机体中央纵承力板-3;RoboMaster 场地交互模块 FI02 2020 -1;RoboMaster 电池架-1;RAU6008-1;超级电容模组-1;切线下供弹系统-1;RoboMaster 电源模块 PM02 2020 STEP-1;TB48S-1;CtrBoard-V1.0.STEP-1;RoboMaster 主控模块 MC02 2019-1;髋关节电机前安装板-左-1;髋关节电机后安装板-1;RM_ESC_Center_Board2-1;socket head cap screw_iso-36;socket head cap screw_iso-26;socket countersunk head screw_iso-6;socket head cap screw_iso-1;socket head cap screw_iso-12;socket head cap screw_iso-11;socket head cap screw_iso-10;socket head cap screw_iso-46;socket head cap screw_iso-3;socket head cap screw_iso-9;socket head cap screw_iso-25;4X14X4-PU包胶轮-22;socket head cap screw_iso-17;socket head cap screw_iso-23;socket head cap screw_iso-22;socket head cap screw_iso-21;socket head cap screw_iso-16;socket head cap screw_iso-20;socket countersunk head screw_iso-5;socket head cap screw_iso-8;socket head cap screw_iso-19;socket head cap screw_iso-7;socket head cap screw_iso-6;socket head cap screw_iso-5;socket head cap screw_iso-4;socket head cap screw_iso-18;socket head cap screw_iso-2;socket head cap screw_iso-24;socket head cap screw_iso-31;socket head cap screw_iso-28;socket head cap screw_iso-54;socket head cap screw_iso-27;串联腿V4-1/伺泰威GIM8108-8-3;串联腿V4-1/伺泰威GIM8108-8-4,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_link_1,0.0117376958449735,-0.00870423692569275,2.26941382359541E-05,0,0,0,0.400563744047032,0.000296564794093282,-8.00993493392262E-08,-2.84645285411357E-07,0.000516698382063801,-2.2497477718339E-08,0.000267243803257602,0,0,0,0,0,0,package://practice3_description2/meshes/left_hip_link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://practice3_description2/meshes/left_hip_link_1.STL,,串联腿V4-1/髋关节电机连接件-1-1;串联腿V4-1/髋关节电机连接件-2-1;串联腿V4-1/GIM8115-9-1;串联腿V4-1/socket head cap screw_iso-9;串联腿V4-1/socket head cap screw_iso-10;串联腿V4-1/socket head cap screw_iso-11;串联腿V4-1/socket head cap screw_iso-12;串联腿V4-1/socket head cap screw_iso-13;串联腿V4-1/socket head cap screw_iso-14;串联腿V4-1/socket head cap screw_iso-15;串联腿V4-1/socket head cap screw_iso-16;串联腿V4-1/socket head cap screw_iso-17;串联腿V4-1/socket head cap screw_iso-18;串联腿V4-1/socket head cap screw_iso-19;串联腿V4-1/socket head cap screw_iso-20;串联腿V4-1/socket head cap screw_iso-21;串联腿V4-1/socket head cap screw_iso-22;串联腿V4-1/socket head cap screw_iso-23;串联腿V4-1/socket head cap screw_iso-24;串联腿V4-1/socket head cap screw_iso-25,left_hip_link_1,left_hip_axis_1,left_hip_joint_1,revolute,-0.0644999999999995,0.100000000000002,0.0610000000000005,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
left_hip_link_2,-0.00234340312165071,-0.0164403871090596,-0.0315246767728361,0,0,0,0.958438524633264,0.00177180470536122,4.54831101220919E-07,-3.38215173711839E-06,0.00216397459244547,-3.10678190785687E-06,0.000453278850053542,0,0,0,0,0,0,package://practice3_description2/meshes/left_hip_link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://practice3_description2/meshes/left_hip_link_2.STL,,串联腿V4-1/GIM8115-9-2;串联腿V4-1/左侧大腿结构件-1;串联腿V4-1/膝-髋关节电机连接件-1;串联腿V4-1/膝-髋关节电机连接座-1;串联腿V4-1/DM-IMU-L1-V1.0-3d-2;串联腿V4-1/socket head cap screw_iso-1;串联腿V4-1/socket head cap screw_iso-2;串联腿V4-1/socket head cap screw_iso-3;串联腿V4-1/socket head cap screw_iso-4;串联腿V4-1/socket head cap screw_iso-5;串联腿V4-1/socket head cap screw_iso-6;串联腿V4-1/socket head cap screw_iso-7;串联腿V4-1/膝关节主驱动连杆-1;串联腿V4-1/606-zz-1;串联腿V4-1/606-zz-2;串联腿V4-1/hexagon socket button head screws gb-1;串联腿V4-1/hexagon socket button head screws gb-2;串联腿V4-1/6.1x8x2-不锈钢套管垫圈-1;串联腿V4-1/膝关节主连杆摇臂-电机侧-1;串联腿V4-1/膝关节主连杆约束连杆-1;串联腿V4-1/膝关节主驱动连杆-3;串联腿V4-1/F698-ZZ-1;串联腿V4-1/F698-ZZ-2;串联腿V4-1/606-zz-3;串联腿V4-1/606-zz-4;串联腿V4-1/6.1x8x2-不锈钢套管垫圈-3;串联腿V4-1/6.1x8x2-不锈钢套管垫圈-4;串联腿V4-1/M6x10x0.5-不锈钢垫圈-1;串联腿V4-1/M8x10x1-紫铜垫片-1;串联腿V4-1/M8x10x1-紫铜垫片-3;串联腿V4-1/M8x10x0.5-不锈钢垫片-1;串联腿V4-1/MF84-ZZ-1;串联腿V4-1/MF84-ZZ-3;串联腿V4-1/MF84-ZZ-2;串联腿V4-1/MF84-ZZ-4;串联腿V4-1/M4x6x1-紫铜垫片-1;串联腿V4-1/M4x6x1-紫铜垫片-2;串联腿V4-1/6.1x8x3-不锈钢套管垫圈-1;串联腿V4-1/M6x10x0.5-不锈钢垫圈-2;串联腿V4-1/M6x8x1-紫铜垫片-1;串联腿V4-1/M6x8x1-紫铜垫片-2;串联腿V4-1/4.1x6x6-不锈钢套管垫圈-1;串联腿V4-1/M4x6x1-紫铜垫片-4;串联腿V4-1/M4x6x0.2-不锈钢垫圈-1;串联腿V4-1/4.1x6x2-不锈钢套管垫圈-1;串联腿V4-1/M4x6x0.2-不锈钢垫圈-2;串联腿V4-1/M4x6x0.2-不锈钢垫圈-3;串联腿V4-1/M4x6x0.2-不锈钢垫圈-4;串联腿V4-1/M6x8x0.5-不锈钢垫圈-1;串联腿V4-1/socket head cap screw_iso-26;串联腿V4-1/socket head cap screw_iso-27;串联腿V4-1/socket head cap screw_iso-28;串联腿V4-1/socket countersunk head screw_iso-2;串联腿V4-1/socket countersunk head screw_iso-3;串联腿V4-1/socket countersunk head screw_iso-5;串联腿V4-1/socket countersunk head screw_iso-4;串联腿V4-1/socket countersunk head screw_iso-6;串联腿V4-1/socket countersunk head screw_iso-7;串联腿V4-1/socket countersunk head screw_iso-8;串联腿V4-1/socket countersunk head screw_iso-9;串联腿V4-1/socket head cap screw_iso-29;串联腿V4-1/socket head cap screw_iso-30;串联腿V4-1/socket head cap screw_iso-31;串联腿V4-1/socket head cap screw_iso-32;串联腿V4-1/socket head cap screw_iso-33;串联腿V4-1/socket head cap screw_iso-34;串联腿V4-1/socket head cap screw_iso-35;串联腿V4-1/socket head cap screw_iso-37;串联腿V4-1/socket head cap screw_iso-36;串联腿V4-1/socket head cap screw_iso-38;串联腿V4-1/socket head cap screw_iso-39;串联腿V4-1/socket head shoulder screw2_iso-2;串联腿V4-1/socket head shoulder screw2_iso-3;串联腿V4-1/socket countersunk head screw_iso-10;串联腿V4-1/socket button head screw_iso-1;串联腿V4-1/socket head shoulder screw2_iso-5;串联腿V4-1/hex nut gradec_iso-2;串联腿V4-1/socket head cap screw_iso-55;串联腿V4-1/socket head cap screw_iso-56;串联腿V4-1/socket head cap screw_iso-57;串联腿V4-1/socket head cap screw_iso-58;串联腿V4-1/socket button head screw_iso-2;串联腿V4-1/socket countersunk head screw_iso-14;串联腿V4-1/socket head shoulder screw2_iso-6;串联腿V4-1/taper pin unhardened_iso-1;串联腿V4-1/socket button head screw_iso-5;串联腿V4-1/socket button head screw_iso-6,left_hip_link_2,left_hip_axis_2,left_hip_joint_2,revolute,0,0.074999989032747,0,0,0,0,left_hip_link_1,0,1,0,0,0,0,0,,,,,,,,
left_knee_link,0.00100749878759322,0.00320594335839763,-0.122955227606256,0,0,0,0.343804834340664,0.0009680733895411,8.59857145931582E-07,1.62319934624875E-05,0.00106913143213422,-2.52727040731467E-06,0.000118328955466622,0,0,0,0,0,0,package://practice3_description2/meshes/left_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://practice3_description2/meshes/left_knee_link.STL,,串联腿V4-1/左侧小腿结构件-1;串联腿V4-1/DM-IMU-L1-V1.0-3d-1;串联腿V4-1/伺泰威GIM6010-8电机-1;串联腿V4-1/小腿限位块-1;串联腿V4-1/膝关节辅助摇臂-小腿侧-1;串联腿V4-1/socket head cap screw_iso-40;串联腿V4-1/socket head cap screw_iso-41;串联腿V4-1/socket head cap screw_iso-42;串联腿V4-1/socket head cap screw_iso-43;串联腿V4-1/socket head cap screw_iso-44;串联腿V4-1/socket head cap screw_iso-45;串联腿V4-1/socket head cap screw_iso-46;串联腿V4-1/socket head cap screw_iso-47;串联腿V4-1/socket head cap screw_iso-48;串联腿V4-1/socket head cap screw_iso-49;串联腿V4-1/socket head cap screw_iso-50;串联腿V4-1/socket head cap screw_iso-51;串联腿V4-1/socket head cap screw_iso-52;串联腿V4-1/socket head cap screw_iso-53;串联腿V4-1/socket head cap screw_iso-54;串联腿V4-1/socket countersunk head screw_iso-12;串联腿V4-1/socket countersunk head screw_iso-13,left_knee_link,left_knee_axis,left_knee_joint,revolute,0,0.0119999999999887,-0.199999999999995,0,0,0,left_hip_link_2,0,-1,0,0,0,0,0,,,,,,,,
left_wheel_link,-7.07767178198537E-16,-0.0117920169831469,-3.88578058618805E-16,0,0,0,0.209584411967204,0.00029786947300678,-1.10268043536288E-19,1.2705210623214E-21,0.000587841562871859,5.68473106691506E-19,0.00029786947300678,0,0,0,0,0,0,package://practice3_description2/meshes/left_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://practice3_description2/meshes/left_wheel_link.STL,,一体轮装配体_V1.5.1-1,left_wheel_link,left_wheel_axis,left_wheel_joint,revolute,0,0.0334999999966896,-0.220000000000008,0,0,0,left_knee_link,0,-1,0,0,0,0,0,,,,,,,,
right_hip_link_1,0.0117071177721701,0.0164021412660143,5.60256661864197E-05,0,0,0,0.400831423281393,0.000296630955176583,7.82527228974855E-08,-2.70117601965929E-07,0.000516698271342002,1.80396125202565E-08,0.000267280909062391,0,0,0,0,0,0,package://practice3_description2/meshes/right_hip_link_1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://practice3_description2/meshes/right_hip_link_1.STL,,串联腿V4-1/socket head cap screw_iso-63;串联腿V4-1/socket head cap screw_iso-65;串联腿V4-1/socket head cap screw_iso-66;串联腿V4-1/socket head cap screw_iso-67;串联腿V4-1/socket head cap screw_iso-68;串联腿V4-1/socket head cap screw_iso-109;串联腿V4-1/socket head cap screw_iso-114;串联腿V4-1/髋关节电机连接件-2-2;串联腿V4-1/髋关节电机连接件-1-2;串联腿V4-1/GIM8115-9-3;串联腿V4-1/socket head cap screw_iso-59;串联腿V4-1/socket head cap screw_iso-60;串联腿V4-1/socket head cap screw_iso-61;串联腿V4-1/socket head cap screw_iso-62;串联腿V4-1/socket head cap screw_iso-89;串联腿V4-1/socket head cap screw_iso-90;串联腿V4-1/socket head cap screw_iso-115;串联腿V4-1/socket head cap screw_iso-91;串联腿V4-1/socket head cap screw_iso-116,right_hip_link_1,right_hip_axis_1,right_hip_joint_1,revolute,-0.0644999999999994,-0.099999999999998,0.0609999999997787,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
right_hip_link_2,-0.00236637227336274,0.0164649838667017,-0.031489988048203,0,0,0,0.959167374243142,0.00177190021168065,-4.59288978411488E-07,-3.39668830993251E-06,0.00216397675694541,3.10493523112989E-06,0.000453345300994539,0,0,0,0,0,0,package://practice3_description2/meshes/right_hip_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://practice3_description2/meshes/right_hip_link_2.STL,,串联腿V4-1/镜向左侧大腿结构件-2;串联腿V4-1/膝-髋关节电机连接件-2;串联腿V4-1/GIM8115-9-4;串联腿V4-1/膝关节主驱动连杆-2;串联腿V4-1/镜向膝关节主连杆摇臂-电机侧-2;串联腿V4-1/膝关节主连杆约束连杆-2;串联腿V4-1/606-zz-5;串联腿V4-1/606-zz-6;串联腿V4-1/6.1x8x2-不锈钢套管垫圈-5;串联腿V4-1/膝-髋关节电机连接座-2;串联腿V4-1/膝关节主驱动连杆-4;串联腿V4-1/F698-ZZ-6;串联腿V4-1/F698-ZZ-7;串联腿V4-1/606-zz-7;串联腿V4-1/606-zz-8;串联腿V4-1/6.1x8x2-不锈钢套管垫圈-6;串联腿V4-1/6.1x8x2-不锈钢套管垫圈-7;串联腿V4-1/M6x10x0.5-不锈钢垫圈-3;串联腿V4-1/M8x10x1-紫铜垫片-4;串联腿V4-1/M8x10x1-紫铜垫片-5;串联腿V4-1/M8x10x0.5-不锈钢垫片-2;串联腿V4-1/MF84-ZZ-5;串联腿V4-1/MF84-ZZ-6;串联腿V4-1/MF84-ZZ-7;串联腿V4-1/MF84-ZZ-8;串联腿V4-1/M4x6x1-紫铜垫片-5;串联腿V4-1/M4x6x1-紫铜垫片-6;串联腿V4-1/6.1x8x3-不锈钢套管垫圈-2;串联腿V4-1/M6x10x0.5-不锈钢垫圈-4;串联腿V4-1/M6x8x1-紫铜垫片-3;串联腿V4-1/M6x8x1-紫铜垫片-4;串联腿V4-1/4.1x6x6-不锈钢套管垫圈-2;串联腿V4-1/M4x6x1-紫铜垫片-7;串联腿V4-1/M4x6x0.2-不锈钢垫圈-5;串联腿V4-1/4.1x6x2-不锈钢套管垫圈-2;串联腿V4-1/M4x6x0.2-不锈钢垫圈-6;串联腿V4-1/M4x6x0.2-不锈钢垫圈-7;串联腿V4-1/DM-IMU-L1-V1.0-3d-4;串联腿V4-1/M4x6x0.2-不锈钢垫圈-8;串联腿V4-1/socket countersunk head screw_iso-16;串联腿V4-1/socket head shoulder screw2_iso-7;串联腿V4-1/socket head shoulder screw2_iso-8;串联腿V4-1/socket head shoulder screw2_iso-9;串联腿V4-1/socket head cap screw_iso-85;串联腿V4-1/socket button head screw_iso-3;串联腿V4-1/hex nut gradec_iso-3;串联腿V4-1/socket head cap screw_iso-88;串联腿V4-1/taper pin unhardened_iso-2;串联腿V4-1/socket head cap screw_iso-92;串联腿V4-1/socket button head screw_iso-4;串联腿V4-1/socket head cap screw_iso-93;串联腿V4-1/socket head cap screw_iso-97;串联腿V4-1/socket head cap screw_iso-98;串联腿V4-1/socket head cap screw_iso-99;串联腿V4-1/socket head cap screw_iso-100;串联腿V4-1/socket head cap screw_iso-101;串联腿V4-1/socket head cap screw_iso-102;串联腿V4-1/socket head cap screw_iso-103;串联腿V4-1/socket head cap screw_iso-104;串联腿V4-1/socket head cap screw_iso-105;串联腿V4-1/socket head cap screw_iso-108;串联腿V4-1/hexagon socket button head screws gb-3;串联腿V4-1/hexagon socket button head screws gb-4;串联腿V4-1/M6x8x0.5-不锈钢垫圈-2;串联腿V4-1/socket head shoulder screw2_iso-10;串联腿V4-1/socket countersunk head screw_iso-27;串联腿V4-1/socket head cap screw_iso-113;串联腿V4-1/socket button head screw_iso-7;串联腿V4-1/socket button head screw_iso-8;串联腿V4-1/socket head cap screw_iso-233;串联腿V4-1/socket head cap screw_iso-234;串联腿V4-1/socket head cap screw_iso-236;串联腿V4-1/socket head cap screw_iso-237;串联腿V4-1/socket head cap screw_iso-238;串联腿V4-1/socket head cap screw_iso-239;串联腿V4-1/socket countersunk head screw_iso-52;串联腿V4-1/socket countersunk head screw_iso-53;串联腿V4-1/socket countersunk head screw_iso-54;串联腿V4-1/socket countersunk head screw_iso-55;串联腿V4-1/socket countersunk head screw_iso-56;串联腿V4-1/socket countersunk head screw_iso-57;串联腿V4-1/socket countersunk head screw_iso-58;串联腿V4-1/socket countersunk head screw_iso-59;串联腿V4-1/socket head cap screw_iso-240;串联腿V4-1/socket head cap screw_iso-241;串联腿V4-1/socket head cap screw_iso-242;串联腿V4-1/socket head cap screw_iso-235,right_hip_link_2,left_hip_axis_2,right_hip_joint_2,revolute,0,-0.0654999866485592,0,0,0,0,right_hip_link_1,0,1,0,0,0,0,0,,,,,,,,
right_knee_link,0.000852844559914787,-0.0032059954658481,-0.12291534139924,0,0,0,0.343804857289423,0.000968088228819755,-6.93212784777182E-07,1.62579052061883E-05,0.00106913174986676,2.48328323811241E-06,0.000118314433915555,0,0,0,0,0,0,package://practice3_description2/meshes/right_knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://practice3_description2/meshes/right_knee_link.STL,,串联腿V4-1/伺泰威GIM6010-8电机-2;串联腿V4-1/镜向左侧小腿结构件-2;串联腿V4-1/socket head cap screw_iso-71;串联腿V4-1/socket head cap screw_iso-72;串联腿V4-1/socket head cap screw_iso-74;串联腿V4-1/socket head cap screw_iso-77;串联腿V4-1/socket head cap screw_iso-82;串联腿V4-1/socket head cap screw_iso-83;串联腿V4-1/socket head cap screw_iso-84;串联腿V4-1/socket head cap screw_iso-110;串联腿V4-1/DM-IMU-L1-V1.0-3d-3;串联腿V4-1/socket head cap screw_iso-73;串联腿V4-1/socket head cap screw_iso-78;串联腿V4-1/socket head cap screw_iso-79;串联腿V4-1/socket head cap screw_iso-96;串联腿V4-1/小腿限位块-2;串联腿V4-1/socket head cap screw_iso-80;串联腿V4-1/socket head cap screw_iso-81;串联腿V4-1/socket head cap screw_iso-95;串联腿V4-1/镜向膝关节辅助摇臂-小腿侧-2;串联腿V4-1/socket countersunk head screw_iso-23;串联腿V4-1/socket countersunk head screw_iso-26,right_knee_link,right_knee_axis,right_knee_joint,revolute,0,-0.0119999999999739,-0.199999999570626,0,0,0,right_hip_link_2,0,1,0,0,0,0,0,,,,,,,,
right_wheel_link,-4.54633272695126E-09,0.0117920169831469,-1.31611332943038E-10,0,0,0,0.209584411967204,0.00029786947300678,-6.91658661627059E-20,-6.53875455186767E-20,0.000587841562871858,1.3562476710542E-19,0.00029786947300678,0,0,0,0,0,0,package://practice3_description2/meshes/right_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://practice3_description2/meshes/right_wheel_link.STL,,一体轮装配体_V1.5.1-2,right_wheel_link,right_wheel_axis,right_wheel_joint,revolute,0,-0.0334999999967161,-0.22000000006147,0,0,0,right_knee_link,0,1,0,0,0,0,0,,,,,,,,
lf_guidewheel_link,-3.81799036830444E-11,-0.0202720140453712,-1.38603642452217E-10,0,0,0,0.0909509467491148,8.39441481509991E-06,3.29272753185131E-15,3.36933497356766E-16,1.503586387806E-05,1.03458342751675E-14,8.39441493636591E-06,0,0,0,0,0,0,package://practice3_description2/meshes/lf_guidewheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://practice3_description2/meshes/lf_guidewheel_link.STL,,Omni wheel 58mm-2,left_front_guidewheel_link,front_guide_wheel_axis,lf_guidewheel_joint,revolute,0.2,0.114999999999995,-0.082,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
